service_number,unit_id,unit_posting,service,rank,age,years_of_service,surge_exposure,latent_strain,label_positive
SYNTH-CRPF-06-977441,CRPF-06,internal security duty,crpf,Head Constable,29,7,0.5666,0.324242,0
SYNTH-CRPF-06-129535,CRPF-06,internal security duty,crpf,Head Constable,28,7,0.5357,0.3783,0
SYNTH-CRPF-06-917673,CRPF-06,internal security duty,crpf,Inspector,45,21,0.4601,0.176136,0
SYNTH-CRPF-06-975810,CRPF-06,internal security duty,crpf,Constable,22,1,0.6294,0.058099,0
SYNTH-CRPF-06-291534,CRPF-06,internal security duty,crpf,Head Constable,29,8,0.6087,0.226488,0
SYNTH-CRPF-06-483502,CRPF-06,internal security duty,crpf,Inspector,43,20,0.6531,0.053879,0
SYNTH-CRPF-06-820018,CRPF-06,internal security duty,crpf,Constable,27,4,0.6199,0.236223,0
SYNTH-CRPF-06-837159,CRPF-06,internal security duty,crpf,Head Constable,29,6,0.368,0.175918,0
SYNTH-CRPF-06-934040,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,37,13,0.569,0.219843,0
SYNTH-CRPF-06-721954,CRPF-06,internal security duty,crpf,Assistant Commandant,47,26,0.8484,0.25581,0
SYNTH-CRPF-06-610171,CRPF-06,internal security duty,crpf,Assistant Commandant,50,26,0.332,0.192992,0
SYNTH-CRPF-06-522821,CRPF-06,internal security duty,crpf,Constable,23,1,0.8342,0.373279,0
SYNTH-CRPF-06-677094,CRPF-06,internal security duty,crpf,Head Constable,31,9,0.7324,0.021931,0
SYNTH-CRPF-06-272311,CRPF-06,internal security duty,crpf,Sub-Inspector,37,17,0.7161,0.208333,0
SYNTH-CRPF-06-347492,CRPF-06,internal security duty,crpf,Inspector,47,24,0.8233,0.154508,0
SYNTH-CRPF-06-734813,CRPF-06,internal security duty,crpf,Sub-Inspector,35,15,0.5916,0.40523,0
SYNTH-CRPF-06-879967,CRPF-06,internal security duty,crpf,Constable,25,1,0.6885,0.076854,0
SYNTH-CRPF-06-116334,CRPF-06,internal security duty,crpf,Head Constable,29,8,0.4698,0.031659,0
SYNTH-CRPF-06-778404,CRPF-06,internal security duty,crpf,Constable,25,1,0.9228,0.198295,0
SYNTH-CRPF-06-121560,CRPF-06,internal security duty,crpf,Assistant Commandant,45,25,0.5972,0.121859,0
SYNTH-CRPF-06-814620,CRPF-06,internal security duty,crpf,Assistant Commandant,51,28,0.3977,0.277609,0
SYNTH-CRPF-06-728729,CRPF-06,internal security duty,crpf,Inspector,46,22,0.6721,0.16312,0
SYNTH-CRPF-06-763402,CRPF-06,internal security duty,crpf,Head Constable,26,5,0.2362,0.040293,0
SYNTH-CRPF-06-271546,CRPF-06,internal security duty,crpf,Sub-Inspector,40,18,0.8611,0.348535,0
SYNTH-CRPF-06-278926,CRPF-06,internal security duty,crpf,Inspector,42,20,0.5103,0.350707,0
SYNTH-CRPF-06-182238,CRPF-06,internal security duty,crpf,Head Constable,30,8,0.3755,0.051571,0
SYNTH-CRPF-06-160041,CRPF-06,internal security duty,crpf,Head Constable,29,7,0.4188,0.36618,0
SYNTH-CRPF-06-463255,CRPF-06,internal security duty,crpf,Head Constable,33,9,0.8094,0.477483,0
SYNTH-CRPF-06-949762,CRPF-06,internal security duty,crpf,Inspector,44,24,0.5601,0.12609,0
SYNTH-CRPF-06-836679,CRPF-06,internal security duty,crpf,Constable,25,2,0.7474,0.153705,0
SYNTH-CRPF-06-276304,CRPF-06,internal security duty,crpf,Constable,26,4,0.7469,0.210012,0
SYNTH-CRPF-06-865994,CRPF-06,internal security duty,crpf,Sub-Inspector,41,19,0.8285,0.054852,0
SYNTH-CRPF-06-506978,CRPF-06,internal security duty,crpf,Assistant Commandant,45,25,0.1893,0.321949,0
SYNTH-CRPF-06-942324,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,34,11,0.6717,0.193885,0
SYNTH-CRPF-06-858211,CRPF-06,internal security duty,crpf,Constable,22,2,0.6208,0.25335,0
SYNTH-CRPF-06-714448,CRPF-06,internal security duty,crpf,Inspector,44,24,0.7375,0.287396,0
SYNTH-CRPF-06-492821,CRPF-06,internal security duty,crpf,Sub-Inspector,39,19,0.9517,0.237102,0
SYNTH-CRPF-06-486839,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,37,14,0.9592,0.233899,0
SYNTH-CRPF-06-558667,CRPF-06,internal security duty,crpf,Constable,23,3,0.5113,0.28492,0
SYNTH-CRPF-06-760151,CRPF-06,internal security duty,crpf,Head Constable,30,7,0.2616,0.214599,0
SYNTH-CRPF-06-522818,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,36,14,0.57,0.228829,0
SYNTH-CRPF-06-330684,CRPF-06,internal security duty,crpf,Head Constable,32,9,0.8052,0.312261,0
SYNTH-CRPF-06-111782,CRPF-06,internal security duty,crpf,Constable,22,1,0.5754,0.135438,0
SYNTH-CRPF-06-291652,CRPF-06,internal security duty,crpf,Head Constable,31,8,0.8756,0.346061,0
SYNTH-CRPF-06-951911,CRPF-06,internal security duty,crpf,Inspector,45,23,0.8174,0.204402,0
SYNTH-CRPF-06-497971,CRPF-06,internal security duty,crpf,Head Constable,26,6,0.2843,0.326293,0
SYNTH-CRPF-06-141622,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,33,12,0.4842,0.480381,0
SYNTH-CRPF-06-230119,CRPF-06,internal security duty,crpf,Assistant Commandant,48,27,0.5613,0.19651,0
SYNTH-CRPF-06-121714,CRPF-06,internal security duty,crpf,Head Constable,30,7,0.7478,0.463673,0
SYNTH-CRPF-06-984564,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,35,12,0.629,0.074222,0
SYNTH-CRPF-06-126622,CRPF-06,internal security duty,crpf,Assistant Commandant,49,27,0.913,0.095273,0
SYNTH-CRPF-06-447187,CRPF-06,internal security duty,crpf,Constable,24,2,0.2725,0.352645,0
SYNTH-CRPF-06-415463,CRPF-06,internal security duty,crpf,Inspector,44,20,0.5066,0.199201,0
SYNTH-CRPF-06-603953,CRPF-06,internal security duty,crpf,Assistant Commandant,49,27,0.7289,0.542568,0
SYNTH-CRPF-06-300257,CRPF-06,internal security duty,crpf,Inspector,42,20,0.8693,0.356425,0
SYNTH-CRPF-06-659832,CRPF-06,internal security duty,crpf,Assistant Commandant,48,28,0.6245,0.452845,0
SYNTH-CRPF-06-805028,CRPF-06,internal security duty,crpf,Assistant Commandant,49,25,0.8607,0.078281,0
SYNTH-CRPF-06-504571,CRPF-06,internal security duty,crpf,Constable,22,1,0.7647,0.28255,0
SYNTH-CRPF-06-764367,CRPF-06,internal security duty,crpf,Constable,25,1,0.4272,0.38036,0
SYNTH-CRPF-06-780020,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,35,12,0.5982,0.300798,0
SYNTH-CRPF-06-645046,CRPF-06,internal security duty,crpf,Inspector,42,22,0.8604,0.140244,0
SYNTH-CRPF-06-717736,CRPF-06,internal security duty,crpf,Head Constable,33,9,0.2535,0.285952,0
SYNTH-CRPF-06-556620,CRPF-06,internal security duty,crpf,Constable,21,1,0.4092,0.572095,1
SYNTH-CRPF-06-681546,CRPF-06,internal security duty,crpf,Head Constable,31,7,0.209,0.280793,0
SYNTH-CRPF-06-842709,CRPF-06,internal security duty,crpf,Assistant Commandant,47,26,0.8865,0.165854,0
SYNTH-CRPF-06-405954,CRPF-06,internal security duty,crpf,Inspector,40,20,0.399,0.2608,0
SYNTH-CRPF-06-103617,CRPF-06,internal security duty,crpf,Head Constable,25,5,0.7056,0.085897,0
SYNTH-CRPF-06-333920,CRPF-06,internal security duty,crpf,Head Constable,32,8,0.3901,0.282554,0
SYNTH-CRPF-06-656524,CRPF-06,internal security duty,crpf,Head Constable,28,6,0.4549,0.102145,0
SYNTH-CRPF-06-221921,CRPF-06,internal security duty,crpf,Assistant Commandant,50,28,0.4435,0.205562,0
SYNTH-CRPF-06-820853,CRPF-06,internal security duty,crpf,Head Constable,31,9,0.8172,0.201361,0
SYNTH-CRPF-06-849377,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,36,14,0.9673,0.521847,0
SYNTH-CRPF-06-810335,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,34,12,0.8823,0.417408,0
SYNTH-CRPF-06-176690,CRPF-06,internal security duty,crpf,Assistant Commandant,48,27,0.724,0.291208,0
SYNTH-CRPF-06-237947,CRPF-06,internal security duty,crpf,Constable,22,1,0.8393,0.19108,0
SYNTH-CRPF-06-471245,CRPF-06,internal security duty,crpf,Constable,26,3,0.7857,0.394258,0
SYNTH-CRPF-06-443091,CRPF-06,internal security duty,crpf,Assistant Commandant,51,27,0.2657,0.224902,0
SYNTH-CRPF-06-843265,CRPF-06,internal security duty,crpf,Assistant Commandant,46,25,0.3452,0.251046,0
SYNTH-CRPF-06-571375,CRPF-06,internal security duty,crpf,Sub-Inspector,41,17,0.8486,0.194826,0
SYNTH-CRPF-06-634909,CRPF-06,internal security duty,crpf,Constable,25,4,0.5826,0.259632,0
SYNTH-CRPF-06-767723,CRPF-06,internal security duty,crpf,Assistant Commandant,45,25,0.8976,0.288141,0
SYNTH-CRPF-06-222803,CRPF-06,internal security duty,crpf,Inspector,43,22,0.0866,0.23039,0
SYNTH-CRPF-06-178949,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,36,12,0.6691,0.196998,0
SYNTH-CRPF-06-579631,CRPF-06,internal security duty,crpf,Inspector,41,20,0.7061,0.295003,0
SYNTH-CRPF-06-344831,CRPF-06,internal security duty,crpf,Head Constable,29,6,0.5824,0.547788,0
SYNTH-CRPF-06-572078,CRPF-06,internal security duty,crpf,Assistant Commandant,46,26,0.838,0.124505,0
SYNTH-CRPF-06-351045,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,36,14,0.6966,0.180042,0
SYNTH-CRPF-06-235279,CRPF-06,internal security duty,crpf,Inspector,44,23,0.8354,0.286383,0
SYNTH-CRPF-06-986427,CRPF-06,internal security duty,crpf,Sub-Inspector,40,19,0.9474,0.264106,0
SYNTH-CRPF-06-149047,CRPF-06,internal security duty,crpf,Head Constable,28,6,0.3888,0.072372,0
SYNTH-CRPF-06-798154,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,33,11,0.9042,0.216988,0
SYNTH-CRPF-06-860559,CRPF-06,internal security duty,crpf,Constable,25,4,0.7728,0.315492,0
SYNTH-CRPF-06-559848,CRPF-06,internal security duty,crpf,Inspector,41,21,0.8776,0.297188,0
SYNTH-CRPF-06-736077,CRPF-06,internal security duty,crpf,Inspector,43,23,0.8284,0.360405,0
SYNTH-CRPF-06-629715,CRPF-06,internal security duty,crpf,Constable,24,3,0.6915,0.243746,0
SYNTH-CRPF-06-112493,CRPF-06,internal security duty,crpf,Assistant Commandant,46,26,0.6162,0.44768,0
SYNTH-CRPF-06-150935,CRPF-06,internal security duty,crpf,Assistant Commandant,45,25,0.6475,0.205774,0
SYNTH-CRPF-06-776898,CRPF-06,internal security duty,crpf,Head Constable,31,7,0.7327,0.344469,0
SYNTH-CRPF-06-908152,CRPF-06,internal security duty,crpf,Head Constable,31,8,0.6903,0.035912,0
SYNTH-CRPF-06-354838,CRPF-06,internal security duty,crpf,Head Constable,25,5,0.5657,0.377532,0
SYNTH-CRPF-06-990188,CRPF-06,internal security duty,crpf,Sub-Inspector,41,17,0.9095,0.245849,0
SYNTH-CRPF-06-168569,CRPF-06,internal security duty,crpf,Assistant Commandant,46,25,0.8051,0.447388,0
SYNTH-CRPF-07-332172,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,31,10,0.9174,0.3461,0
SYNTH-CRPF-07-274350,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,47,25,0.7261,0.325178,0
SYNTH-CRPF-07-457345,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,35,11,0.8143,0.254923,0
SYNTH-CRPF-07-907967,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,42,19,0.5121,0.266479,0
SYNTH-CRPF-07-299702,CRPF-07,left-wing extremism area,crpf,Constable,24,4,0.6888,0.028313,0
SYNTH-CRPF-07-973310,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,38,15,0.7708,0.217057,0
SYNTH-CRPF-07-688501,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,41,19,0.5965,0.483453,0
SYNTH-CRPF-07-816093,CRPF-07,left-wing extremism area,crpf,Constable,27,3,0.929,0.290516,0
SYNTH-CRPF-07-637083,CRPF-07,left-wing extremism area,crpf,Head Constable,29,8,0.7557,0.359717,0
SYNTH-CRPF-07-855817,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,50,26,0.5638,0.196616,0
SYNTH-CRPF-07-216850,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,42,19,0.6368,0.028062,0
SYNTH-CRPF-07-485690,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,50,26,0.5914,0.286686,0
SYNTH-CRPF-07-405465,CRPF-07,left-wing extremism area,crpf,Constable,24,1,0.6037,0.096759,0
SYNTH-CRPF-07-489861,CRPF-07,left-wing extremism area,crpf,Head Constable,28,8,0.2719,0.338771,0
SYNTH-CRPF-07-821082,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,36,13,0.4086,0.271397,0
SYNTH-CRPF-07-717807,CRPF-07,left-wing extremism area,crpf,Head Constable,30,9,0.7765,0.478492,0
SYNTH-CRPF-07-344325,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,36,13,0.835,0.101062,0
SYNTH-CRPF-07-815061,CRPF-07,left-wing extremism area,crpf,Head Constable,27,5,0.7522,0.37547,0
SYNTH-CRPF-07-161556,CRPF-07,left-wing extremism area,crpf,Constable,27,3,0.8179,0.057822,0
SYNTH-CRPF-07-875168,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,36,15,0.8465,0.638839,1
SYNTH-CRPF-07-130675,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,34,12,0.5669,0.191196,0
SYNTH-CRPF-07-325115,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,42,19,0.2264,0.333567,0
SYNTH-CRPF-07-224454,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,49,25,0.7162,0.120725,0
SYNTH-CRPF-07-543365,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,33,12,0.7898,0.248931,0
SYNTH-CRPF-07-763270,CRPF-07,left-wing extremism area,crpf,Head Constable,27,5,0.5216,0.160208,0
SYNTH-CRPF-07-732382,CRPF-07,left-wing extremism area,crpf,Inspector,46,23,0.4406,0.159128,0
SYNTH-CRPF-07-624055,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,48,25,0.6848,0.118688,0
SYNTH-CRPF-07-208422,CRPF-07,left-wing extremism area,crpf,Constable,27,4,0.4651,0.293434,0
SYNTH-CRPF-07-754188,CRPF-07,left-wing extremism area,crpf,Head Constable,27,6,0.6915,0.062893,0
SYNTH-CRPF-07-572994,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,33,13,0.4976,0.454066,0
SYNTH-CRPF-07-797132,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,39,15,0.5776,0.337207,0
SYNTH-CRPF-07-213694,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,36,16,0.8278,0.579099,1
SYNTH-CRPF-07-530627,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,36,13,0.6122,0.086037,0
SYNTH-CRPF-07-987700,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,49,26,0.7621,0.042709,0
SYNTH-CRPF-07-289542,CRPF-07,left-wing extremism area,crpf,Inspector,44,24,0.8187,0.217268,0
SYNTH-CRPF-07-579940,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,35,15,0.5176,0.213076,0
SYNTH-CRPF-07-303798,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,41,19,0.7272,0.260911,0
SYNTH-CRPF-07-518849,CRPF-07,left-wing extremism area,crpf,Inspector,41,20,0.2378,0.285597,0
SYNTH-CRPF-07-787592,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,35,15,0.6585,0.557427,1
SYNTH-CRPF-07-557768,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,36,14,0.586,0.388263,0
SYNTH-CRPF-07-754574,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,38,16,0.5517,0.321108,0
SYNTH-CRPF-07-160678,CRPF-07,left-wing extremism area,crpf,Head Constable,29,8,0.721,0.508696,0
SYNTH-CRPF-07-721309,CRPF-07,left-wing extremism area,crpf,Inspector,42,22,0.2097,0.379561,0
SYNTH-CRPF-07-869901,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,34,12,0.5223,0.105018,0
SYNTH-CRPF-07-790662,CRPF-07,left-wing extremism area,crpf,Head Constable,32,9,0.9484,0.223919,0
SYNTH-CRPF-07-573199,CRPF-07,left-wing extremism area,crpf,Inspector,41,21,0.764,0.01927,0
SYNTH-CRPF-07-326287,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,47,27,0.9597,0.048773,0
SYNTH-CRPF-07-228929,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,37,15,0.8162,0.285542,0
SYNTH-CRPF-07-291432,CRPF-07,left-wing extremism area,crpf,Constable,27,4,0.8793,0.098506,0
SYNTH-CRPF-07-314601,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,31,11,0.3539,0.169126,0
SYNTH-CRPF-07-117755,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,41,19,0.2961,0.186776,0
SYNTH-CRPF-07-705578,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,46,26,0.329,0.225621,0
SYNTH-CRPF-07-389154,CRPF-07,left-wing extremism area,crpf,Head Constable,27,7,0.7988,0.129626,0
SYNTH-CRPF-07-297620,CRPF-07,left-wing extremism area,crpf,Head Constable,28,8,0.5806,0.497469,0
SYNTH-CRPF-07-381982,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,49,25,0.3834,0.308927,0
SYNTH-CRPF-07-358970,CRPF-07,left-wing extremism area,crpf,Head Constable,29,5,0.5889,0.245428,0
SYNTH-CRPF-07-533709,CRPF-07,left-wing extremism area,crpf,Head Constable,33,9,0.9474,0.257353,0
SYNTH-CRPF-07-291288,CRPF-07,left-wing extremism area,crpf,Constable,26,3,0.8699,0.308597,0
SYNTH-CRPF-07-655303,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,39,18,0.6817,0.0518,0
SYNTH-CRPF-07-108971,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,34,10,0.5959,0.260903,0
SYNTH-CRPF-07-827417,CRPF-07,left-wing extremism area,crpf,Head Constable,29,8,0.4727,0.500887,0
SYNTH-CRPF-07-370576,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,38,18,0.5061,0.29588,0
SYNTH-CRPF-07-325006,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,33,11,0.7008,0.413238,0
SYNTH-CRPF-07-556282,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,48,28,0.9602,0.561133,1
SYNTH-CRPF-07-387743,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,38,17,0.3802,0.422338,0
SYNTH-CRPF-07-776873,CRPF-07,left-wing extremism area,crpf,Constable,25,1,0.4689,0.172235,0
SYNTH-CRPF-07-965369,CRPF-07,left-wing extremism area,crpf,Constable,25,1,0.7206,0.341704,0
SYNTH-CRPF-07-723633,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,31,10,0.9284,0.124636,0
SYNTH-CRPF-07-821996,CRPF-07,left-wing extremism area,crpf,Head Constable,33,9,0.355,0.217516,0
SYNTH-CRPF-07-911996,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,33,13,0.504,0.193218,0
SYNTH-CRPF-07-277993,CRPF-07,left-wing extremism area,crpf,Inspector,42,21,0.6004,0.122039,0
SYNTH-CRPF-07-237908,CRPF-07,left-wing extremism area,crpf,Head Constable,28,6,0.4346,0.150273,0
SYNTH-CRPF-07-428557,CRPF-07,left-wing extremism area,crpf,Inspector,47,23,0.7516,0.327828,0
SYNTH-CRPF-07-970368,CRPF-07,left-wing extremism area,crpf,Head Constable,25,5,0.7573,0.3848,0
SYNTH-CRPF-07-938310,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,49,26,0.7694,0.25213,0
SYNTH-CRPF-07-648727,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,41,17,0.5168,0.045148,0
SYNTH-CRPF-07-611584,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,36,16,0.5264,0.329491,0
SYNTH-CRPF-07-633380,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,31,10,0.4477,0.28709,0
SYNTH-CRPF-07-330403,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,41,18,0.8467,0.096959,0
SYNTH-CRPF-07-796858,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,50,27,0.795,0.092985,0
SYNTH-CRPF-07-939057,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,36,12,0.6067,0.123606,0
SYNTH-CRPF-07-800319,CRPF-07,left-wing extremism area,crpf,Constable,27,3,0.5716,0.052017,0
SYNTH-CRPF-07-346724,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,32,11,0.2269,0.140732,0
SYNTH-CRPF-07-528091,CRPF-07,left-wing extremism area,crpf,Inspector,47,23,0.9895,0.128298,0
SYNTH-CRPF-07-189758,CRPF-07,left-wing extremism area,crpf,Inspector,45,24,0.5074,0.169162,0
SYNTH-CRPF-07-692240,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,37,14,0.4437,0.24765,0
SYNTH-CRPF-07-804734,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,39,17,0.5248,0.079037,0
SYNTH-CRPF-07-873529,CRPF-07,left-wing extremism area,crpf,Inspector,41,21,0.74,0.465211,0
SYNTH-CRPF-07-426286,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,41,18,0.7991,0.245809,0
SYNTH-CRPF-07-241907,CRPF-07,left-wing extremism area,crpf,Head Constable,27,6,0.2743,0.581955,1
SYNTH-CRPF-07-128000,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,34,11,0.6449,0.366338,0
SYNTH-CRPF-07-525292,CRPF-07,left-wing extremism area,crpf,Constable,23,2,0.87,0.270347,0
SYNTH-CRPF-07-169806,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,49,28,0.4309,0.614183,1
SYNTH-CRPF-07-907404,CRPF-07,left-wing extremism area,crpf,Constable,23,3,0.7831,0.15053,0
SYNTH-CRPF-07-500529,CRPF-07,left-wing extremism area,crpf,Head Constable,27,7,0.532,0.39352,0
SYNTH-CRPF-07-370445,CRPF-07,left-wing extremism area,crpf,Inspector,43,20,0.859,0.309434,0
SYNTH-CRPF-07-579609,CRPF-07,left-wing extremism area,crpf,Constable,23,1,0.6485,0.123543,0
SYNTH-CRPF-07-101284,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,40,17,0.6439,0.389691,0
SYNTH-CRPF-07-985534,CRPF-07,left-wing extremism area,crpf,Constable,28,4,0.3098,0.409965,0
SYNTH-CRPF-07-484559,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,32,10,0.4617,0.046336,0
SYNTH-CRPF-07-530287,CRPF-07,left-wing extremism area,crpf,Inspector,46,24,0.8508,0.659662,1
SYNTH-CRPF-07-378360,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,49,28,0.8045,0.353154,0
SYNTH-CRPF-07-461688,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,34,10,0.6027,0.188067,0
SYNTH-CRPF-07-944399,CRPF-07,left-wing extremism area,crpf,Inspector,45,24,0.7411,0.237308,0
SYNTH-CRPF-07-656630,CRPF-07,left-wing extremism area,crpf,Inspector,46,24,0.3685,0.195494,0
SYNTH-CRPF-07-487127,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,39,17,0.4033,0.313044,0
SYNTH-CRPF-07-723548,CRPF-07,left-wing extremism area,crpf,Head Constable,28,5,0.6822,0.152775,0
SYNTH-CRPF-07-118709,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,52,28,0.5126,0.430195,0
SYNTH-CRPF-07-168160,CRPF-07,left-wing extremism area,crpf,Head Constable,29,6,0.2741,0.343262,0
SYNTH-CRPF-07-871666,CRPF-07,left-wing extremism area,crpf,Head Constable,31,8,0.8193,0.149079,0
SYNTH-CRPF-07-814960,CRPF-07,left-wing extremism area,crpf,Inspector,45,23,0.6576,0.247522,0
SYNTH-CRPF-07-850509,CRPF-07,left-wing extremism area,crpf,Constable,24,2,0.6327,0.302748,0
SYNTH-CRPF-07-955589,CRPF-07,left-wing extremism area,crpf,Inspector,43,21,0.4561,0.089791,0
SYNTH-CRPF-07-564477,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,42,19,0.8138,0.080178,0
SYNTH-CRPF-07-524094,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,48,25,0.7568,0.061806,0
SYNTH-CRPF-07-466076,CRPF-07,left-wing extremism area,crpf,Inspector,41,21,0.3541,0.266821,0
SYNTH-CRPF-07-432492,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,31,11,0.9144,0.05726,0
SYNTH-CRPF-07-329437,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,38,15,0.8804,0.251486,0
SYNTH-CRPF-07-355271,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,39,19,0.9321,0.046394,0
SYNTH-CRPF-07-188611,CRPF-07,left-wing extremism area,crpf,Head Constable,25,5,0.6772,0.080989,0
SYNTH-CRPF-07-971732,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,39,19,0.5986,0.495738,0
SYNTH-CRPF-07-199354,CRPF-07,left-wing extremism area,crpf,Constable,24,4,0.7546,0.465547,0
SYNTH-CRPF-07-457645,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,41,19,0.7966,0.154009,0
SYNTH-CRPF-07-474026,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,35,15,0.6801,0.120572,0
SYNTH-CRPF-07-445820,CRPF-07,left-wing extremism area,crpf,Inspector,44,23,0.8446,0.125403,0
SYNTH-CRPF-07-440605,CRPF-07,left-wing extremism area,crpf,Head Constable,27,7,0.6318,0.148944,0
SYNTH-CRPF-07-624557,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,31,11,0.4538,0.200435,0
SYNTH-CRPF-07-298413,CRPF-07,left-wing extremism area,crpf,Inspector,45,23,0.3709,0.160591,0
SYNTH-CRPF-07-194346,CRPF-07,left-wing extremism area,crpf,Inspector,45,22,0.7957,0.374077,0
SYNTH-CRPF-07-953782,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,32,12,0.7051,0.195518,0
SYNTH-CRPF-07-288582,CRPF-07,left-wing extremism area,crpf,Head Constable,28,6,0.6217,0.145445,0
SYNTH-CRPF-07-310098,CRPF-07,left-wing extremism area,crpf,Inspector,46,22,0.4047,0.254294,0
SYNTH-CRPF-07-947122,CRPF-07,left-wing extremism area,crpf,Sub-Inspector,36,15,0.6377,0.297696,0
SYNTH-CRPF-07-630647,CRPF-07,left-wing extremism area,crpf,Assistant Commandant,52,28,0.8243,0.203027,0
SYNTH-CRPF-07-108075,CRPF-07,left-wing extremism area,crpf,Inspector,42,22,0.6471,0.12727,0
SYNTH-CRPF-07-432158,CRPF-07,left-wing extremism area,crpf,Constable,24,1,0.5784,0.298426,0
SYNTH-CRPF-07-520768,CRPF-07,left-wing extremism area,crpf,Assistant Sub-Inspector,34,11,0.4143,0.274498,0
